title,report_date,attachment_filename,sha256,classification,proposed_storage_path
"Daily Market Report","2026-06-24","Daily Market Report (24-06-2026).pdf","0e3e5215f5d62aa067f88514a8bcf80ac66cc1dacbacfc6c5073fa50e8afa0ce","new_import_candidate","reports/staged/daily-market-report-2026-06-24.pdf"
"Daily Market Report","2026-06-23","Daily Market Report (23-06-2026).pdf","671f77edfbe702305c09765a7e6b938fd6fb75a5eb8bafb31a0212c71d5ee110","new_import_candidate","reports/staged/daily-market-report-2026-06-23.pdf"
"Daily Market Report","2026-06-22","Daily Market Report (22-06-2026).pdf","ede32e99583bb7ed3bf05be47a309cefa49cceb75684eacfd2775a60fbc8cc8a","new_import_candidate","reports/staged/daily-market-report-2026-06-22.pdf"
"Daily Market Report","2026-06-19","Daily Market Report (19-06-2026).pdf","6d3e8536e4a9902f2867f135f98c84be1b6f937f638f56314b70c618de818cc7","new_import_candidate","reports/staged/daily-market-report-2026-06-19.pdf"
"Daily Market Report","2026-06-18","Daily Market Report (18-06-2026).pdf","8b60844b3e61d4e2e08b8bbb2970fda7212687c9295eaa14a64d7418ffccbe26","new_import_candidate","reports/staged/daily-market-report-2026-06-18.pdf"
"Daily Market Report","2026-06-17","Daily Market Report (17-06-2026).pdf","121d34c0d84ebf3454a20fbc2561d2219b8ccf6e86e60011b66c8b075285e98e","new_import_candidate","reports/staged/daily-market-report-2026-06-17.pdf"
"Daily Market Report","2026-06-16","Daily Market Report (16-06-2026).pdf","095954e78bb82e2564bff11ae4b8d96adc5f5c93c5d179fbde3f34f5d7535676","new_import_candidate","reports/staged/daily-market-report-2026-06-16.pdf"
"Daily Market Report","2026-06-15","Daily Market Report (15-06-2026).pdf","a814728cb4a9eca46d7137eabf1a010737328b9710f66d81ab03a709d4ce7d2b","new_import_candidate","reports/staged/daily-market-report-2026-06-15.pdf"
"Daily Market Report","2026-06-11","Daily Market Report (11-06-2026).pdf","237fda6cd2c8d2b712309f94e675806048ea453b0d99e2d7440b8f1a7bc4581f","new_import_candidate","reports/staged/daily-market-report-2026-06-11.pdf"
"Daily Market Report","2026-06-10","Daily Market Report (10-06-2026).pdf","122fbbc017154a54f71df33a307b2979efbd4e725e01150e9dfa989aa937641b","new_import_candidate","reports/staged/daily-market-report-2026-06-10.pdf"
"Daily Market Report","2026-06-08","Daily Market Report (08-06-2026).pdf","5b928b0e9dfcb96b454afcf3fc76aa86c3e61aef0c5dbe69bc35027d58c5d339","new_import_candidate","reports/staged/daily-market-report-2026-06-08.pdf"
"Daily Market Report","2026-06-05","Daily Market Report (05-06-2026).pdf","","missing_file_pending",""
"Daily Market Report","2026-06-04","Daily Market Report (04-06-2026).pdf","c7c366d0fc200646a193da110568870798ae73b91eb8ba164e30a8981176b70d","new_import_candidate","reports/staged/daily-market-report-2026-06-04.pdf"
"Daily Market Report","2026-06-03","Daily Market Report (03-06-2026).pdf","a405368399224fa6a1f48287524a30d46c513321d73908ed025540e99bd34df7","new_import_candidate","reports/staged/daily-market-report-2026-06-03.pdf"
"Daily Market Report","2026-06-02","Daily Market Report (02-06-2026).pdf","2c9fc222cbc5f219cde0c5860a6cee18ab6c3d2d91affce3a0e772037794dd3e","new_import_candidate","reports/staged/daily-market-report-2026-06-02.pdf"
"Daily Market Report","2026-06-01","Daily Market Report (01-06-2026).pdf","875119e0deefdddf6e753aec62e5e889cd0bde6af1fd7485add164854185d47e","new_import_candidate","reports/staged/daily-market-report-2026-06-01.pdf"
"West Africa Weekly Market Report","2026-06-22","CHDWAMR 220626.pdf","9ad927832a39e463769c71b315749d09e54c79872e8d1f5db12699f31f41fa44","new_import_candidate","reports/staged/west-africa-weekly-market-report-2026-06-22.pdf"
"West Africa Weekly Market Report","2026-06-15","CHDWAMR 150626.pdf","61586d85a5d75b4bfb5012290bcbabfc189e1a8a746aaa964d72ce551202f20d","new_import_candidate","reports/staged/west-africa-weekly-market-report-2026-06-15.pdf"
"West Africa Weekly Market Report","2026-06-08","CHDWAMR 080626.pdf","24ea2afa444392e54c921d5ce176c9792e38323e61de05e15dd3e32efd453caa","new_import_candidate","reports/staged/west-africa-weekly-market-report-2026-06-08.pdf"
"West Africa Weekly Market Report","2026-06-01","CHDWAMR 010626.pdf","0646e28a491e4cbf56d78d74c22aff290d21ee9cb6647f37cb80fae91669307e","new_import_candidate","reports/staged/west-africa-weekly-market-report-2026-06-01.pdf"
"Daily Market Summary","2026-06-24","24 June Pricelist.xlsx","b84f43d06f7d6b87153d2d3155f236dabef275c61ab568b9bd21716f39d160f4","new_import_candidate","reports/staged/daily-market-summary-2026-06-24.pdf"
"Daily Market Summary","2026-06-23","23 June Pricelist.xlsx","e6d040491b1e75729c2e2ae1c8d28c9fb2d2bad3e80681079a3cf3acc6fa77b6","new_import_candidate","reports/staged/daily-market-summary-2026-06-23.pdf"
"Ghanaian Daily Market Summary","2026-06-24","Pricelist 24 June 2026.xlsx","c5eb38d3496ce787fc7adbf8b981f2a4ae83f86756b4e0b64ed067aaa204247e","new_import_candidate","reports/staged/ghanaian-daily-market-summary-2026-06-24.pdf"
"Ghanaian Daily Market Summary","2026-06-23","Pricelist 23 June 2026.xlsx","dade41cf6097afdf863d00128aa076fc8af5cfae6a283ffc2faa20eec9353608","new_import_candidate","reports/staged/ghanaian-daily-market-summary-2026-06-23.pdf"
"Nigeria Corporate Action Tracker","2026-06-22","Nigeria Corporate Action Tracker 22062026.pdf","21eacbfef7c7a15f35360ab66d96f669131db2e157530f510344de05fbd8bb2f","new_import_candidate","reports/staged/nigeria-corporate-action-tracker-2026-06-22.pdf"
"Nigeria Corporate Action Tracker","2026-06-15","Nigeria Corporate Action Tracker 15062026.pdf","","missing_file_pending",""
"Nigeria Corporate Action Tracker","2026-06-08","Nigeria Corporate Action Tracker 08062026.pdf","9715746540c8c823b2f4ba3fb0000bb8f288598aea377307637ee230c3271a14","new_import_candidate","reports/staged/nigeria-corporate-action-tracker-2026-06-08.pdf"
"Nigeria Corporate Action Tracker","2026-06-01","Nigeria Corporate Action Tracker 01062026.pdf","5cba053ec24c560e79ebfdd760722e5b688cda40000c768dd716822da5f55ab6","new_import_candidate","reports/staged/nigeria-corporate-action-tracker-2026-06-01.pdf"
